Code,Title,Description
ampoule,Ampoule,
bag,Bag,
bale,Bale,
barrel,Barrel,
bottle,Bottle,
box,Box,
bundle,Bundle,
can,Can,
carton,Carton,
case,Case,
cask,Cask,
collapse_tube,Collapsible Tube,
crate,Crate,
drum,Drum,
jar,Jar,
jerrican,Jerrican,
keg,Keg,
nesting_drum,Nesting Drum,
non_remov_head_drum,Non-Removable Head Drum,
open_head_drum,Open Head Drum,
pail,Pail,
removable_head_drum,Removable Head Drum,
sack,Sack,
tight_head_drum,Tight Head Drum,
tin,Tin
tray,Tray,
tube,Tube,
wirebound_box,Wirebound Box,
